id_equipo_local,id_equipo_visitante,goles_local,goles_visitante,resultado,arbitro,fixture_id,fecha_timestamp,goles_descanso_local,goles_descanso_visitante,estadio,season
531,798,0,0,0,Javier Iglesias,877942,1660577400,0.0,0.0,San Mamés Barria,2022
529,728,0,0,0,Alejandro Hernández,877943,1660417200,0.0,0.0,Spotify Camp Nou,2022
543,797,3,0,1,Guillermo Cuadra,877944,1660591800,2.0,0.0,Estadio Benito Villamarín,2022
538,540,2,2,0,Miguel Ortiz,877945,1660402800,1.0,0.0,Abanca-Balaídos,2022
724,548,0,1,2,Isidro Díaz de Mera,877946,1660491000,0.0,1.0,Estadio Nuevo Mirandilla,2022
727,536,2,1,1,Carlos del Cerro,877947,1660330800,1.0,1.0,Estadio El Sadar,2022
723,541,1,2,2,Juan Martínez,877948,1660507200,1.0,0.0,Power Horse Stadium – Estadio de los Juegos Mediterráneos,2022
546,530,0,3,2,José Sánchez,877949,1660584600,0.0,1.0,Coliseum Alfonso Pérez,2022
720,533,0,3,2,Mario Melero,877950,1660410000,0.0,0.0,Estadio Municipal José Zorrilla,2022
532,547,1,0,1,Jorge Figueroa,877951,1660498200,1.0,0.0,Estadio de Mestalla,2022
531,532,1,0,1,César Soto,877952,1661095800,1.0,0.0,San Mamés Barria,2022
530,533,0,2,2,Ricardo De Burgos,877953,1661103000,0.0,0.0,Estádio Cívitas Metropolitano,2022
538,541,1,4,2,Jesús Gil,877954,1661025600,1.0,2.0,Abanca-Balaídos,2022
540,728,0,2,2,Jorge Figueroa,877955,1660932000,0.0,1.0,RCDE Stadium,2022
536,720,1,1,0,Juan Pulido,877956,1660939200,0.0,0.0,Estadio Ramón Sánchez Pizjuán,2022
548,529,1,4,2,José Munuera,877957,1661112000,1.0,1.0,Reale Arena,2022
798,543,1,2,2,Pablo González,877958,1661016600,0.0,1.0,Visit Mallorca Estadi,2022
547,546,3,1,1,Alejandro Muñiz,877959,1661198400,1.0,0.0,Estadi Municipal de Montilivi,2022
727,724,2,0,1,Antonio Mateu,877960,1661009400,1.0,0.0,Estadio El Sadar,2022
797,723,1,1,0,Isidro Díaz de Mera,877961,1661191200,1.0,1.0,Estadio Manuel Martínez Valero,2022
529,720,4,0,1,Ricardo De Burgos,877962,1661707800,2.0,0.0,Spotify Camp Nou,2022
543,727,1,0,1,Juan Martínez,877963,1661544000,1.0,0.0,Estadio Benito Villamarín,2022
797,548,0,1,2,Javier Iglesias,877964,1661614200,0.0,1.0,Estadio Manuel Martínez Valero,2022
546,533,0,0,0,Jorge Figueroa,877965,1661700600,0.0,0.0,Coliseum Alfonso Pérez,2022
540,541,1,3,2,Mario Melero,877966,1661716800,1.0,1.0,RCDE Stadium,2022
723,536,2,1,1,Jesús Gil,877967,1661630400,1.0,1.0,Power Horse Stadium – Estadio de los Juegos Mediterráneos,2022
724,531,0,4,2,Miguel Ortiz,877968,1661796000,0.0,1.0,Estadio Nuevo Mirandilla,2022
532,530,0,1,2,Guillermo Cuadra,877969,1661803200,0.0,0.0,Estadio de Mestalla,2022
547,538,0,1,2,Carlos del Cerro,877970,1661536800,0.0,0.0,Estadi Municipal de Montilivi,2022
