id_jugador,nombre_jugador,equipo_jugador,id_equipo,temporada_equipo
136,Piqué,Barcelona,529,2022
745,Isco,Sevilla,536,2022
1560,Barragán,Elche,797,2022
1563,Z. Feddal,Valladolid,720,2022
2043,Daniel Filipe Martins Carriço,Almeria,723,2022
10057,Jonathan,Almeria,723,2022
46665,Iñigo Pérez,Osasuna,727,2022
46770,Jon Garrido,Cadiz,724,2022
46931,Álvaro Giménez,Cadiz,724,2022
47095,Nano,Cadiz,724,2022
47203,Jaime Romero,FC Cartagena,5262,2022
47326,Roberto Jiménez,Valladolid,720,2022
47335,Dídac Vilá Rosselló,Espanyol,540,2022
47342,Víctor Sánchez Mata,Girona,547,2022
47431,David Juncà Reñé,Girona,547,2022
284398,Mamadou Sylla Diallo,Almeria,723,2022
350365,Unai Hernandez,Girona,547,2022
351235,José Antonio Ángel García,Cadiz,724,2022
363331,Juan Martín Ginzo,Atletico Madrid,530,2022
364416,Jesús,Elche,797,2022
15,T. Delaney,Sevilla,536,2022
550,K. Dolberg,Sevilla,536,2022
583,João Félix Sequeira,Atletico Madrid,530,2022
781,J. Pastore,Elche,797,2022
1465,P. Aubameyang,Barcelona,529,2022
2864,Alexander Isak,Real Sociedad,548,2022
18833,Lucas Pérez Martínez,Cadiz,724,2022
46669,Iván Martínez Gonzálvez,Osasuna,727,2022
46922,J. Narváez,Valladolid,720,2022
163245,Martín Manuel Calderón Gómez,Cadiz,724,2022
181218,Álex Sala Herrero,Girona,547,2022
182602,Julen Lobete,Real Sociedad,548,2022
188445,Luis Miguel Cruz Hernández,Sevilla,536,2022
189051,Juan Pedro,Elche,797,2022
237066,Rafael Marín Zamora,Real Madrid,541,2022
263530,Pau Victor Delgado,Girona,547,2022
270516,Peter Federico González Carmona,Real Madrid,541,2022
347877,Francisco Muñoz Verano,Cadiz,724,2022
353463,Moussa Diakité,Cadiz,724,2022
378284,Karl Edouard Blaise Etta Eyong,Cadiz,724,2022
129,Chumi,Almeria,723,2022
914,Álex Centelles,Almeria,723,2022
6065,L. Robertone,Almeria,723,2022
20627,H. Mendes,Almeria,723,2022
