fixture_id,id_lesionado,name_lesionado
877942,183848,J. Agirrezabala
877942,47272,M. Balenziaga
877942,2670,I. Martinez
877942,61142,D. Greif
877942,104793,A. Ndiaye
877942,47266,A. Rodriguez
877942,47007,I. Ruiz de Galarreta
877943,38735,S. Dest
877943,1257,J. Kounde
877944,18998,V. Camarasa
877944,1570,S. Canales
877944,18965,M. Montoya
877944,1264,Y. Sabaly
877944,608,L. Boye
877944,46965,G. Verdu
877944,47057,R. Guti
877944,781,J. Pastore
877945,934,S. Mina
877945,1461,D. Suarez
877945,127426,P. Lozano
877945,47329,A. Pedrosa
877945,47349,J. Puado
877945,47551,R. de Tomas
877946,47485,R. Alcaraz
877946,46691,F. San Emeterio
877946,47323,M. Oyarzabal
877946,47322,M. Merquelanz
877947,46658,R. Garcia
877947,46654,A. Hernandez
877947,163436,Kike Saverio
877947,745,Isco
877947,433,Marcao
877947,2060,Munir El Haddadi
877947,1650,Suso
877948,46910,I. Martos
877948,105034,J. Nieto
877948,733,D. Carvajal
877948,10009,Rodrygo
877949,47085,L. Milla
877949,47257,D. Suarez
877949,371,Felipe
877949,31,J. M. Gimenez
877950,70339,S. Weissman
877950,83,A. Danjuma
877950,288,A. Moreno
877950,1705,M. Trigueros
877951,915,Gabriel Paulista
877951,918,J. Gaya
877951,47505,Bernardo
877951,47515,B. Garcia
877951,263529,I. Kebe
877951,1700,I. Martin
877952,183848,J. Agirrezabala
877952,47272,M. Balenziaga
877952,2670,I. Martinez
877952,48372,E. Comert
877952,918,J. Gaya
877953,83,A. Danjuma
877953,288,A. Moreno
877953,1705,M. Trigueros
877954,934,S. Mina
877954,1461,D. Suarez
877954,752,T. Kroos
877954,737,A. Odriozola
877954,10009,Rodrygo
877955,47551,R. de Tomas
877955,127426,P. Lozano
877955,47329,A. Pedrosa
877955,47209,A. Martin
877956,389,J. Corona
877956,1650,Suso
877956,16369,G. Plata
877956,70339,S. Weissman
877957,46808,C. Fernandez
877957,47322,M. Merquelanz
877957,47323,M. Oyarzabal
877957,18867,D. Rico
877957,47306,A. Sola
877957,144,S. Busquets
877957,38735,S. Dest
877957,1257,J. Kounde
877958,61142,D. Greif
877958,104793,A. Ndiaye
877958,47007,I. Ruiz de Galarreta
877958,18998,V. Camarasa
877958,1570,S. Canales
877958,18965,M. Montoya
877958,1693,V. Ruiz
877958,1264,Y. Sabaly
877959,47515,B. Garcia
877959,263529,I. Kebe
877959,1700,I. Martin
877959,6168,O. Alderete
877959,47085,L. Milla
877959,47257,D. Suarez
877960,163436,Kike Saverio
877960,47485,R. Alcaraz
877960,47100,I. Carcelen
877960,46769,A. Fernandez
877960,46770,J. A. Garrido
877960,47041,A. Perea
877960,937,R. Sobrino
877961,295879,J. Chetauya
877961,47002,Fidel
877961,46965,G. Verdu
877961,46910,I. Martos
877961,105034,J. Nieto
877962,2282,A. Christensen
877962,31386,J. El Yamiq
877962,70339,S. Weissman
877962,1682,S. Asenjo
877962,46714,M. Malsa
877962,16369,G. Plata
877963,18998,V. Camarasa
877963,18965,M. Montoya
877963,163436,Kike Saverio
877963,46669,Barbero
877964,47002,Fidel
877964,46965,G. Verdu
877964,46808,C. Fernandez
877964,47309,A. Guevara
877964,47322,M. Merquelanz
877964,47323,M. Oyarzabal
877964,18867,D. Rico
877964,183744,B. Turrientes
877965,5987,F. Angileri
877965,6168,O. Alderete
877965,47085,L. Milla
877965,47257,D. Suarez
877965,288,A. Moreno
877965,83,A. Danjuma
877966,2042,S. Gomez
877966,47329,A. Pedrosa
877966,47551,R. de Tomas
877966,127426,P. Lozano
877966,735,N. Fernandez
877966,737,A. Odriozola
877967,914,A. Centelles
877967,46910,I. Martos
877967,105034,J. Nieto
877967,1493,M. Acuna
877967,389,J. Corona
877967,433,Marcao
877968,11471,T. Alarcon
877968,47485,R. Alcaraz
877968,47100,I. Carcelen
877968,46770,J. A. Garrido
877968,183848,J. Agirrezabala
877968,47272,M. Balenziaga
877968,47273,Y. Berchiche
